oid	acr	dyadid	sideb	sdate	edate	periods	supp1	supp2	supp3	rs	cl	tk	gs	tc	lsupp	riv	cinc	rdem	gwno	alls	rgdpch	POLITY	noactors	mg
CAM-1979	CAM	2030.3-1	Khmer Rouge/PDK	1979-01-09	1998-10-25	2	1	1	1	weak	0	0	1	0	0	1	0.0004882	-5	811	0	2217.3	-66	3	1
CAM-1980	CAM	2030.3-2	KPNLF	1980-06-22	1991-10-23	2	1	1	1	weak	0	0	1	0	0	1	0.0006655	-5.4	811	0	2370.16	-66	3	1
CAM-1982	CAM	2030.3-3	FUNCINPEC/ANS	1982-01-01	1991-10-23	2	1	1	1	weak	0	0	1	0	0	1	0.0005468	-5.4	811	0	3088.19	-66	3	1
CAM-1984	CAM	2590-1	Military Faction	1984-04-06	1984-04-09	1	0	0	0	weak	1	0	0	0	0	0	0.0006202	-5.4	811	0	3306.68	-66	1	0
CDI-2002	CDI	3280-1	MPCI	2002-09-19	2002-12-31	1	1	0	.	parity	1	.	1	1	0	0	0.0010115	3.111	437	13	2060.34	-77	3	1
CDI-2002	CDI	3280-3	MPIGO	2002-11-11	2002-12-31	1	1	0	.	much weaker	0	.	1	1	0	0	0.0010115	3.111	437	13	2060.34	-77	3	1
CDI-2002	CDI	3280-2	MJP	2002-11-11	2002-12-31	1	1	0	.	much weaker	0	.	1	1	0	0	0.0010115	3.111	437	13	2060.34	-77	3	1
CEN-2001	CEN	3250-1	Military Faction	2001-05-28	2001-06-06	1	0	0	0	weak	.	0	1	0	0	0	0.0002102	-4.111	482	11	954.74	5	2	1
CEN-2001	CEN	3250-2	Faction of Francois Bozize	2001-10-26	2003-03-15	1	1	0	.	weak	1	0	1	0	0	0	0.0002102	-4.111	482	11	954.74	5	2	1
CHA-1965	CHA	1910-2.1	FNT	1965-11-08	1970-12-31	1	0	0	0	much weaker	0	0	1	1	0	1	0.0002038	-4.5	483	3	1181.37	-9	13	1
CHA-1965	CHA	1910-1	FROLINAT	1965-11-08	1989-12-31	4	0	0	0	weak	0	0	1	0	1	1	0.0002038	-4.5	483	3	1181.37	-9	13	1
CHA-1971	CHA	1910-3	FAN	1971-01-01	1982-06-30	1	1	1	1	parity	0	0	0	1	0	1	0.0002875	-7.4	483	3	989.53	-9	13	1
CHA-1988	CHA	1910-5	Islamic Legion	1988-12-31	1990-12-31	1	1	1	1	weak	0	0	1	0	0	1	0.0004805	-6.1	483	0	879.83	-7	13	1
CHA-1989	CHA	1910-6	MOSANAT	1989-03-03	1989-12-31	1	0	0	0	weak	.	0	0	0	0	1	0.0004953	-6.6	483	0	898.12	-7	13	1
CHA-1989	CHA	1910-7	Military Faction	1989-10-20	1989-12-31	1	1	1	1	weak	0	0	0	0	0	1	0.0004953	-6.6	483	0	898.12	-7	13	1
CHA-1990	CHA	1910-9	MPS	1990-03-31	1990-12-02	1	1	1	1	weak	0	0	1	0	0	1	0.0006008	-6.5	483	0	832.58	-7	13	1
CHA-1991	CHA	1910-10	MDD [-FANT]	1991-12-31	1998-05-20	1	1	0	.	much weaker	0	0	1	0	0	1	0.0006377	-6.9	483	0	872.97	-88	13	1
CHA-1992	CHA	1910-11	CSNPD	1992-08-31	1994-08-11	1	0	0	0	weak	0	0	1	0	0	1	0.0005865	-3.9	483	0	901.63	-4	13	1
CHA-1992	CHA	1910-12	CNR	1992-12-31	1994-12-31	1	0	0	0	much weaker	0	0	1	0	0	1	0.0005865	-3.9	483	0	901.63	-4	13	1
CHA-1992	CHA	1910-2.2	FNT	1992-12-31	1994-10-16	1	0	0	0	weak	0	0	1	0	0	1	0.0005865	-3.9	483	0	901.63	-4	13	1
CHA-1997	CHA	1910-13	FARF	1997-11-30	1998-05-07	1	0	0	0	much weaker	0	0	1	0	0	0	0.0005927	-5	483	0	832.27	-2	13	1
CHA-1999	CHA	1910-14	MDJT	1999-12-31	2002-12-31	1	0	0	0	much weaker	0	0	1	0	0	0	0.0005839	-2.9	483	0	881.42	-2	13	1
CHL-1973	CHL	2250-1	Military Faction	1973-09-11	1973-09-11	1	0	0	0	strong	1	0	0	0	0	1	0.0026396	-4	155	22	6039.52	-7	1	0
CHN-1946	CHN	1030-1	Peoples Liberation Army	1946-01-01	1949-12-15	1	1	1	1	weak	1	0	1	1	0	1	0.1327105	-5.333	710	1	326.34	-5	1	0
CHN-1950	CHN	1390.1-1	Tibet	1950-10-07	1950-10-09	1	1	1	1	weak	0	0	0	1	0	1	0.1184953	-3.583	710	1	326.34	-8	1	0
CHN-1956	CHN	1390.2-1	Tibet	1956-05-01	1956-12-31	1	1	1	1	weak	0	0	0	1	0	1	0.0981824	-4.375	710	1	389.01	-8	1	0
CHN-1959	CHN	1390.3-1	Tibet	1959-03-10	1959-03-22	1	1	1	1	weak	0	0	0	1	0	1	0.1171423	-3.875	710	1	451.86	-8	1	0
COL-1966	COL	1920-1	ELN	1966-08-15	2004-12-31	1	0	0	0	much weaker	0	0	1	1	0	1	0.0037422	1	100	19	3093.63	7	4	1
COL-1966	COL	1920-2	FARC	1966-12-01	2004-12-31	2	0	0	0	much weaker	0	0	1	1	0	1	0.0037422	1	100	19	3093.63	7	4	1
COL-1969	COL	1920-3	EPL	1969-12-01	1989-12-31	1	0	0	0	much weaker	0	0	1	0	0	1	0.003957	-1.8	100	22	3360.77	7	4	1
COL-1970	COL	1920-4	M-19	1970-04-19	1988-12-31	1	1	1	1	much weaker	0	0	1	0	0	1	0.0038781	-2.8	100	22	3477.81	7	4	1
COM-1989	COM	2680-1	Presidential guard	1989-11-27	1989-11-29	1	0	0	0	parity	1	0	1	0	0	0	2.67e-05	-10	581	1	2045.81	-7	1	0
COM-1997	COM	3160-1	MPA	1997-09-03	1997-09-07	1	0	0	0	strong	.	0	0	1	0	0	2.86e-05	-10	581	21	1574.21	4	1	0
CON-1997	CON	3170-1	FDU	1997-06-05	1997-10-15	1	1	1	1	weak	0	0	0	0	0	0	0.0003615	-3.286	484	1	2234.31	-6	4	1
CON-1998	CON	3170-4	Cocoyes	1998-12-14	1999-12-29	1	0	0	0	weak	0	0	1	0	0	0	0.0003704	-3.286	484	1	2546.96	-6	4	1
CON-1998	CON	3170-3	Ninjas	1998-12-14	1999-12-29	1	0	0	0	weak	0	0	1	0	0	0	0.0003704	-3.286	484	1	2546.96	-6	4	1
CON-1998	CON	3170-5	Ntsiloulous	1998-12-14	2002-12-31	1	0	0	0	weak	0	0	1	0	0	0	0.0003704	-3.286	484	1	2546.96	-6	4	1
COS-1948	COS	1270-1	National Liberation Army	1948-03-03	1948-04-15	1	0	0	0	strong	1	0	1	1	0	1	8.9e-05	-6	94	18	3179.48	10	1	0
CRO-1992	CRO	2970-2	Serbian Republic of Krajina	1992-01-01	1995-11-12	1	1	1	1	weak	1	1	1	1	0	1	0.001285	6.25	344	0	7328.2	-3	2	1
CRO-1992	CRO	2970-1	Serbian irregulars	1992-01-01	1995-11-12	1	.	.	.	weak	1	.	.	0	0	1	0.001285	6.25	344	0	7328.2	-3	2	1
CUB-1953	CUB	1450.1-1	Military Faction	1953-07-26	1953-07-26	1	0	0	0	much weaker	0	0	0	0	0	0	0.0014938	-2.5	40	20	2668.01	-88	1	0
CUB-1957	CUB	1450.2-1	Movimiento 26 De Julio: 26th of July Movement	1957-01-01	1958-12-15	1	0	0	0	weak	1	0	0	0	0	0	0.0014764	-2.5	40	20	2668.01	-9	1	0
CUB-1961	CUB	1450.3-1	National Revolutionary Council	1961-04-17	1961-04-20	1	1	1	1	weak	1	0	1	0	0	1	0.0037498	-3.75	40	20	2668.01	-7	1	0
CYP-1974	CYP	2270-1	Turkish Cypriots	1974-07-20	1974-08-18	1	1	1	1	weak	.	1	1	0	0	0	0.0001471	-2.5	352	0	5280.06	10	1	0
DJI-1991	DJI	2860-1	FRUD	1991-11-12	1994-12-26	1	0	0	0	parity	0	1	0	1	0	0	8.58e-05	-10	522	20	2985.06	-8	1	0
DOM-1965	DOM	1930-1	Military Faction	1965-01-01	1965-09-03	1	0	0	0	strong	0	0	1	0	0	0	0.0005263	-2	42	19	2317.09	-77	1	0
DRC-1960	DRC	1680-1	Katanga	1960-07-01	1962-12-30	1	1	1	1	parity	0	0	1	1	0	0	0.0013285	-5.333	490	0	701.45	-77	1	0
DRC-1960	DRC	1690-1	Independent Mining State of South Kasai	1960-08-01	1961-12-15	1	.	.	.	weak	1	0	1	1	0	0	0.0013285	-5.333	490	0	701.45	-77	1	0
DRC-1964	DRC	1860.1-1	CNL	1964-05-01	1965-12-31	1	1	1	1	weak	0	0	1	1	0	0	0.0015157	-4.538	490	0	766	-88	2	1
DRC-1967	DRC	1860.1-2	Opposition militias	1967-07-11	1967-11-30	1	.	.	.	weak	.	.	.	0	0	0	0.0018113	-4.143	490	0	859.24	-9	2	1
DRC-1977	DRC	1860.2-1	FLNC	1977-08-17	1978-06-15	1	1	1	1	weak	0	0	1	1	0	1	0.0025095	-6.812	490	0	1175.7	-9	1	0
DRC-1996	DRC	1860.3-1	AFDL	1996-10-18	1997-05-17	1	1	1	1	parity	0	0	0	1	0	1	0.0031961	-1.938	490	0	487.76	-77	1	0
DRC-1998	DRC	1860.4-1	RCD	1998-08-11	2001-12-31	1	1	1	1	parity	0	1	1	1	0	0	0.0031699	-1.75	490	1	465.7	-77	3	1
DRC-1998	DRC	1860.4-4	MLC	1998-11-07	2001-12-31	1	1	1	1	weak	1	0	1	1	0	0	0.0031699	-1.75	490	1	465.7	-77	3	1
DRC-1999	DRC	1860.4-5	RCD Faction	1999-01-01	2001-12-31	1	1	1	1	much weaker	0	0	1	1	0	0	0.0032627	-1.562	490	1	408.65	-77	3	1
EGY-1993	EGY	2980-2	al-Jihad  al-Islamiy	1993-03-17	1998-12-31	1	0	0	0	much weaker	.	1	1	0	0	1	0.0088497	-2.917	651	19	3586.23	-6	3	1
EGY-1993	EGY	2980-1	al-Gamaa al-Islamiyya	1993-03-17	1998-12-31	1	1	1	1	weak	.	1	1	0	0	1	0.0088497	-2.917	651	19	3586.23	-6	3	1
EGY-1993	EGY	2980-3	Tala i al-Fath	1993-03-17	1998-12-31	1	0	0	0	much weaker	.	1	1	0	0	1	0.0088497	-2.917	651	19	3586.23	-6	3	1
EQG-1979	EQG	2430-1	Military Faction	1979-08-03	1979-08-03	1	0	0	0	strong	.	0	0	0	0	1	5.64e-05	-5	411	0	2150.86	-7	1	0
ERI-1997	ERI	2300.1-1	EIJM	1997-04-30	1999-12-31	2	1	1	1	much weaker	0	1	0	0	0	1	0.0005994	-5.714	531	0	700.08	-6	1	0
ERI-2003	ERI	2300-2.1	EIJM	2003-01-01	2004-12-31	1	1	1	1	much weaker	0	1	0	0	0	1	0.0015985	-4.429	531	0	610.67	-7	1	0
ETH-1961	ETH	1700.1-1	Military Faction	1961-12-14	1961-12-24	1	0	0	0	weak	0	0	0	0	0	1	0.0016517	-4.6	530	0	407.12	-9	1	0
ETH-1962	ETH	1780-1	ELF	1962-01-01	1982-12-31	2	1	1	1	weak	0	0	1	1	0	1	0.0016537	-1.667	530	0	410.77	-9	3	1
ETH-1972	ETH	1780-2	ELF Factions	1972-01-01	1982-12-31	2	0	0	0	much weaker	.	.	.	0	0	1	0.0017742	-6.75	530	1	498.13	-9	3	1
ETH-1972	ETH	1780-3	EPLF	1972-01-01	1991-05-28	2	1	1	1	weak	1	0	1	1	0	1	0.0017742	-6.75	530	1	498.13	-9	3	1
ETH-1976	ETH	1700.2-2	OLF	1976-01-01	1991-05-28	1	0	0	0	much weaker	0	0	1	1	0	1	0.0021973	-6.875	530	1	495.69	-7	5	1
ETH-1976	ETH	2330.1-1	WSLF	1976-09-01	1983-12-31	1	1	1	1	weak	.	1	1	0	0	1	0.0021973	-6.875	530	1	495.69	-7	1	0
ETH-1976	ETH	1700.2-1	TPLF	1976-01-01	1991-05-28	1	0	0	0	weak	1	0	1	1	0	1	0.0021973	-6.875	530	1	495.69	-7	5	1
ETH-1977	ETH	1700.2-3	EPRP	1977-01-01	1991-05-28	1	1	1	1	much weaker	0	0	1	0	0	1	0.0032454	-7.222	530	1	489.62	-7	5	1
ETH-1980	ETH	1700.2-4	EPDM	1980-01-01	1991-05-28	1	0	0	0	much weaker	0	0	1	0	0	1	0.0031391	-6.111	530	2	505.3	-7	5	1
ETH-1989	ETH	2690.1-1	ALF	1989-01-01	1991-12-31	1	0	0	0	much weaker	0	1	0	0	0	1	0.0034986	-7.111	530	3	430.3	-8	1	0
ETH-1989	ETH	1700.2-5	Military Faction	1989-05-16	1989-12-31	1	0	0	0	weak	0	0	0	0	0	1	0.0034986	-7.111	530	3	430.3	-8	5	1
ETH-1996	ETH	2330.2-1	ONLF	1996-01-01	2004-12-31	1	0	0	0	much weaker	0	.	.	0	0	1	0.0027978	-6.25	530	3	646.15	1	1	0
ETH-1996	ETH	2690.2-1	ARDUF	1996-04-26	1996-12-31	1	0	0	0	weak	0	1	0	0	0	1	0.0027978	-6.25	530	3	646.15	1	1	0
ETH-1996	ETH	3140-1	al-Itahad al-Islami	1996-08-06	1999-12-31	1	1	1	1	much weaker	.	1	0	0	0	1	0.0027978	-6.25	530	3	646.15	1	1	0
ETH-1999	ETH	3220-1	OLF	1999-01-01	2004-12-31	1	0	0	0	weak	0	0	0	1	0	1	0.0044886	-4.875	530	3	723.49	1	1	0
FRN-1946	FRN	1020-1	Khmer Issarak	1946-08-01	1953-11-09	1	1	1	1	weak	0	0	1	1	0	1	0.0313083	5	220	1	5920.79	10	1	0
FRN-1946	FRN	1170-1	Viet Nam Doc Dong Min Hoi	1946-11-20	1954-05-07	1	1	1	1	parity	0	0	0	1	0	1	0.0313083	5	220	1	5920.79	10	1	0
FRN-1946	FRN	1090-1	Lao Issara	1946-03-01	1953-10-30	1	1	1	1	much weaker	0	0	0	0	0	1	0.0313083	5	220	1	5920.79	10	1	0
FRN-1947	FRN	1210-1	MDRM	1947-03-29	1948-12-31	1	0	0	0	weak	0	0	0	1	0	1	0.0349788	3.182	220	2	5920.79	10	1	0
FRN-1953	FRN	1480-1	National Liberation Army	1953-04-01	1956-03-20	1	.	.	.	weak	0	.	.	0	0	1	0.03176	3.231	220	14	6551.38	10	1	0
FRN-1953	FRN	1470-1	Istiqlal	1953-11-07	1956-03-02	1	.	.	.	much weaker	0	.	.	0	0	1	0.03176	3.231	220	15	6551.38	10	1	0
FRN-1954	FRN	1490-1	FLN	1954-11-01	1962-07-03	1	0	0	0	weak	1	0	0	0	0	1	0.0329686	3.231	220	20	6686.65	10	2	1
FRN-1954	FRN	1490-2	MNA	1954-11-01	1962-07-03	1	.	.	.	much weaker	0	.	.	0	0	1	0.0329686	3.231	220	20	6686.65	10	2	1
FRN-1957	FRN	1590/1600-1	National Liberation Army	1957-01-12	1958-03-01	1	1	1	1	weak	0	0	1	0	0	0	0.032746	2.357	220	21	7778.23	10	1	0
FRN-1957	FRN	1570-1	UPC	1957-09-01	1960-01-01	1	0	0	0	much weaker	0	0	0	0	0	0	0.032746	2.357	220	21	7778.23	10	1	0
FRN-1961	FRN	1730-1	OAS	1961-04-22	1962-06-30	1	0	0	0	much weaker	0	0	0	0	0	0	0.0304155	2.286	220	26	8892.74	5	1	0
GAB-1964	GAB	1870-1	Military Faction	1964-02-18	1964-02-18	1	0	0	0	much weaker	0	0	1	0	0	0	3.6e-05	-4.6	481	14	10393.59	-7	1	0
GAM-1981	GAM	2500-1	SRLP	1981-07-30	1981-08-06	1	0	0	0	weak	0	0	1	0	0	0	3.48e-05	-6.333	420	13	886.02	7	1	0
GHA-1966	GHA	1980.1-1	Military Faction	1966-02-24	1966-02-24	1	0	0	0	strong	1	0	0	0	0	1	0.0008446	-7	452	0	689.2	-7	1	0
GHA-1981	GHA	1980.2-1	Military Faction	1981-12-31	1981-12-31	1	0	0	0	strong	0	0	0	0	0	1	0.0008769	-5.5	452	13	1132.33	-7	1	0
GHA-1983	GHA	1980.3-1	Military Faction	1983-06-19	1983-06-19	1	0	0	0	weak	0	0	0	0	0	1	0.0008764	-5.5	452	13	1040.12	-7	1	0
GNB-1998	GNB	3190-1	Military Faction	1998-06-07	1999-05-07	1	0	0	0	strong	1	0	1	0	0	0	0.0001097	-2.833	404	13	494.35	-77	1	0
GRC-1946	GRC	1040-1	DSE	1946-03-01	1949-10-16	1	1	1	1	weak	1	0	1	1	0	1	0.0030764	-4.714	350	0	2021.14	8	1	0
GRG-1991	GRG	2870.1-1	Anti-government alliance	1991-12-22	1992-01-15	1	0	0	0	parity	.	0	0	0	0	0	0.0009836	-1.6	372	0	4593.24	4	1	0
GRG-1992	GRG	3000-1	Republic of South Ossetia	1992-06-09	1992-07-14	1	0	0	0	weak	.	1	0	1	0	0	0.0010098	-0.7	372	0	4593.24	4	1	0
GRG-1992	GRG	2990-1	Republic of Abkhazia	1992-08-16	1993-12-01	1	0	0	0	weak	1	1	1	1	0	0	0.0010098	-0.7	372	0	4593.24	4	1	0
GRG-1993	GRG	2870.2-1	Zviadists	1993-01-01	1993-10-15	1	0	0	0	weak	1	0	0	1	0	0	0.0007025	-1.5	372	0	2756.56	4	1	0
GUA-1949	GUA	1360.1-1	Military Faction	1949-07-16	1949-07-18	1	0	0	0	weak	0	0	0	0	0	0	0.0006353	-6.75	90	20	2295.16	5	1	0
GUA-1954	GUA	1360.2-1	Forces of Carlos Castillo Armas	1954-08-02	1954-08-02	1	1	1	1	parity	0	0	0	0	0	0	0.0004455	-5.75	90	20	2278.69	-6	1	0
GUA-1966	GUA	1360.3-2	FAR	1966-10-01	1982-03-06	1	0	0	0	much weaker	0	0	1	0	0	0	0.0005091	-3.75	90	19	2818.74	3	5	1
GUA-1966	GUA	1360.3-3	PGT	1966-10-01	1982-03-06	1	0	0	0	much weaker	0	0	1	0	0	0	0.0005091	-3.75	90	19	2818.74	3	5	1
GUA-1966	GUA	1360.3-1	MR-13	1966-10-01	1995-12-31	2	0	0	0	much weaker	0	0	1	0	0	0	0.0005091	-3.75	90	19	2818.74	3	5	1
GUA-1976	GUA	1360.3-4	EGP	1976-01-01	1982-03-06	1	0	0	0	much weaker	0	0	1	0	0	0	0.0005698	-4	90	23	3596.98	-3	5	1
GUA-1979	GUA	1360.3-5	ORPA	1979-01-01	1982-03-06	1	0	0	0	much weaker	0	0	1	0	0	0	0.0006096	-6	90	24	3956.13	-5	5	1
GUI-1970	GUI	2110.1-1	Military faction	1970-11-22	1970-11-22	1	0	0	0	weak	.	.	.	0	0	0	0.0003218	-3.875	438	0	2316.42	-9	1	0
GUI-2000	GUI	2110.2-1	RFDG	2000-09-01	2001-12-31	1	0	0	0	weak	.	0	0	0	0	0	0.0003924	0.111	438	13	2546.12	-1	1	0
HAI-1991	HAI	2880-1	Tonton Macoute/Military Faction	1991-01-07	1991-01-07	1	0	0	0	parity	0	0	0	0	0	0	0.0004427	3	41	31	1906.4	-7	1	0
IND-1947	IND	1190-1	CPI	1947-06-01	1948-09-17	1	.	.	.	weak	0	.	.	0	0	1	0.0528381	-6.6	750	0	764.91	9	1	0
IND-1948	IND	1290.1-1	CPI	1948-09-18	1951-12-31	1	0	0	0	much weaker	0	0	0	0	0	1	0.0524505	-1.714	750	0	764.91	9	1	0
IND-1956	IND	1540.1-1	NNC	1956-01-01	1968-06-15	1	.	.	.	much weaker	0	.	.	0	0	1	0.0452217	-2.375	750	0	821.66	9	1	0
IND-1966	IND	1990-1	MNF	1966-09-01	1968-10-15	1	0	0	0	much weaker	.	0	0	0	0	1	0.0521901	-5.125	750	0	968.43	9	1	0
IND-1967	IND	1290.2-1	Naxalites/CPI [-Marxist]	1967-05-25	1972-07-19	1	0	0	0	weak	0	0	0	0	0	1	0.0508412	-5.125	750	0	1022.15	9	1	0
IND-1978	IND	2390.1-1	TNV	1978-01-01	1988-08-12	1	0	0	0	much weaker	0	0	0	0	0	1	0.0535502	-6	750	2	1317.76	8	1	0
IND-1982	IND	2530-1	PLA	1982-07-31	2000-12-31	1	1	0	.	much weaker	0	0	0	0	0	1	0.054331	-5.889	750	2	1427.48	8	3	1
IND-1983	IND	2570-1	Sikh insurgents	1983-08-20	1993-12-31	1	1	0	.	much weaker	.	1	0	0	0	1	0.0544968	-5.889	750	2	1454.58	8	1	0
IND-1989	IND	2710-1	UFLA	1989-01-01	2004-12-31	2	1	0	.	much weaker	0	0	1	1	0	1	0.0596297	-3.222	750	2	1840.44	8	3	1
